Idjugador,nombre,apellido,nickname,codigociudad,total-ganancias,juego,genero,Ciudad
3883,Peter,Rasmussen,dupreeh,DK,1822989.41,Counter-Strike: Global Offensive,First-Person Shooter,Denmark
3679,Andreas,Højsleth,Xyp9x,DK,1799288.57,Counter-Strike: Global Offensive,First-Person Shooter,Denmark
3885,Nicolai,Reedtz,dev1ce,DK,1787489.88,Counter-Strike: Global Offensive,First-Person Shooter,Denmark
3672,Lukas,Rossander,gla1ve,DK,1652350.75,Counter-Strike: Global Offensive,First-Person Shooter,Denmark
17800,Emil,Reif,Magisk,DK,1416448.64,Counter-Strike: Global Offensive,First-Person Shooter,Denmark
12183,Epitácio,de Melo,TACO,BR,1063858.27,Counter-Strike: Global Offensive,First-Person Shooter,Brazil
12169,Fernando,Alvarenga,fer,BR,1063038.92,Counter-Strike: Global Offensive,First-Person Shooter,Brazil
2455,Gabriel,Toledo,FalleN,BR,1059938.92,Counter-Strike: Global Offensive,First-Person Shooter,Brazil
12182,Marcelo,David,coldzera,BR,1021901.46,Counter-Strike: Global Offensive,First-Person Shooter,Brazil
2452,Finn,Andersen,karrigan,DK,964635.39,Counter-Strike: Global Offensive,First-Person Shooter,Denmark
3875,Jesper,Wecksell,JW,SE,897760.68,Counter-Strike: Global Offensive,First-Person Shooter,Sweden
5001,Olof,Kajbjer,olofmeister,SE,880011.52,Counter-Strike: Global Offensive,First-Person Shooter,Sweden
3878,Robin,Rönnquist,flusha,SE,877668.95,Counter-Strike: Global Offensive,First-Person Shooter,Sweden
5000,Freddy,Johansson,KRiMZ,SE,867823.34,Counter-Strike: Global Offensive,First-Person Shooter,Sweden
3888,Dan,Madesclaire,apEX,FR,814852.39,Counter-Strike: Global Offensive,First-Person Shooter,France
3290,Nathan,Schmitt,NBK,FR,805444.66,Counter-Strike: Global Offensive,First-Person Shooter,France
3882,Ladislav,Kovács,GuardiaN,SK,798520.8,Counter-Strike: Global Offensive,First-Person Shooter,Slovakia (Slovak Republic)
5483,Håvard,Nygaard,rain,NO,763799.57,Counter-Strike: Global Offensive,First-Person Shooter,Norway
5783,Nikola,Kovač,NiKo,BA,762802.56,Counter-Strike: Global Offensive,First-Person Shooter,Bosnia and Herzegovina
8168,Egor,Vasilyev,flamie,RU,732920.07,Counter-Strike: Global Offensive,First-Person Shooter,Russian Federation
8168,Egor,Vasilyev,flamie,RU,732920.07,Counter-Strike: Global Offensive,First-Person Shooter,Russian Federation
3289,Kenny,Schrub,kennyS,FR,713086.68,Counter-Strike: Global Offensive,First-Person Shooter,France
1511,Daniil,Teslenko,Zeus,UA,689568.7,Counter-Strike: Global Offensive,First-Person Shooter,Ukraine
8169,Alexander,Kostylev,s1mple,UA,677155.31,Counter-Strike: Global Offensive,First-Person Shooter,Ukraine
3881,Richard,Papillon,shox,FR,660640.55,Counter-Strike: Global Offensive,First-Person Shooter,France
4998,Janusz,Pogorzelski,snax,PL,653938.44,Counter-Strike: Global Offensive,First-Person Shooter,Poland
10736,Markus,Kjærbye,Kjaerbye,DK,617000.5,Counter-Strike: Global Offensive,First-Person Shooter,Denmark
1510,Ioann,Sukharev,Edward,UA,613854.6,Counter-Strike: Global Offensive,First-Person Shooter,Ukraine
1485,Filip,Kubski,neo,PL,606880.52,Counter-Strike: Global Offensive,First-Person Shooter,Poland
3951,Chris,de Jong,chrisJ,NL,596748.79,Counter-Strike: Global Offensive,First-Person Shooter,Netherlands
1484,Wiktor,Wojtas,TaZ,PL,591510.89,Counter-Strike: Global Offensive,First-Person Shooter,Poland
1488,Jarosław,Jarząbkowski,pashaBiceps,PL,577382.35,Counter-Strike: Global Offensive,First-Person Shooter,Poland
4997,Paweł,Bieliński,byali,PL,574103.56,Counter-Strike: Global Offensive,First-Person Shooter,Poland
1490,Patrik,Lindberg,f0rest,SE,547205.97,Counter-Strike: Global Offensive,First-Person Shooter,Sweden
16267,Denis,Sharipov,electroNic,RU,531541.99,Counter-Strike: Global Offensive,First-Person Shooter,Russian Federation
16267,Denis,Sharipov,electroNic,RU,531541.99,Counter-Strike: Global Offensive,First-Person Shooter,Russian Federation
1492,Christopher,Alesund,GeT_RiGhT,SE,517888.39,Counter-Strike: Global Offensive,First-Person Shooter,Sweden
2440,Richard,Landström,Xizt,SE,513805.74,Counter-Strike: Global Offensive,First-Person Shooter,Sweden
31594,Robin,Kool,ropz,EE,506010.74,Counter-Strike: Global Offensive,First-Person Shooter,Estonia
3293,Cédric,Guipouy,RpK,FR,498887.62,Counter-Strike: Global Offensive,First-Person Shooter,France
3889,Vincent,Schopenhauer,Happy,FR,485910.46,Counter-Strike: Global Offensive,First-Person Shooter,France
12859,Jonas,Olofsson,Lekr0,SE,464499.26,Counter-Strike: Global Offensive,First-Person Shooter,Sweden
28556,Maikil,Selim,Golden,SE,448642.48,Counter-Strike: Global Offensive,First-Person Shooter,Sweden
2450,Aleksi,Jalli,allu,FI,418492.59,Counter-Strike: Global Offensive,First-Person Shooter,Finland
4996,Renè,Borg,cajunb,DK,417465.86,Counter-Strike: Global Offensive,First-Person Shooter,Denmark
3676,Dauren,Kystaubayev,AdreN,KZ,414305.65,Counter-Strike: Global Offensive,First-Person Shooter,Kazakhstan
3676,Dauren,Kystaubayev,AdreN,KZ,414305.65,Counter-Strike: Global Offensive,First-Person Shooter,Kazakhstan
3287,Adam,Friberg,friberg,SE,407662.41,Counter-Strike: Global Offensive,First-Person Shooter,Sweden
18811,Kristian,Wienecke,k0nfig,DK,403005.81,Counter-Strike: Global Offensive,First-Person Shooter,Denmark
2456,Lincoln,Lau,fnx,BR,387551.81,Counter-Strike: Global Offensive,First-Person Shooter,Brazil
12179,Ricardo,Prass,boltz,BR,382208.97,Counter-Strike: Global Offensive,First-Person Shooter,Brazil
3998,Fabien,Fiey,KIOSHIMA,FR,378500.99,Counter-Strike: Global Offensive,First-Person Shooter,France
30622,Cvetelin,Nikolov,CeRq,BG,375765.04,Counter-Strike: Global Offensive,First-Person Shooter,Bulgaria
2494,Dennis,Edman,dennis,SE,361678.02,Counter-Strike: Global Offensive,First-Person Shooter,Sweden
