_id,Idjugador,nombre,apellido,nickname,codigopais,total-ganancias,juego,genero,Pais
65e49cce58cb8e2f98fc6732,3883,Peter,Rasmussen,dupreeh,DK,1822989.41,Counter-Strike: Global Offensive,First-Person Shooter,Denmark
65e49cce58cb8e2f98fc6733,3679,Andreas,Højsleth,Xyp9x,DK,1799288.57,Counter-Strike: Global Offensive,First-Person Shooter,Denmark
65e49cce58cb8e2f98fc6734,3885,Nicolai,Reedtz,dev1ce,DK,1787489.88,Counter-Strike: Global Offensive,First-Person Shooter,Denmark
65e49cce58cb8e2f98fc6735,3672,Lukas,Rossander,gla1ve,DK,1652350.75,Counter-Strike: Global Offensive,First-Person Shooter,Denmark
65e49cce58cb8e2f98fc6736,17800,Emil,Reif,Magisk,DK,1416448.64,Counter-Strike: Global Offensive,First-Person Shooter,Denmark
65e49cce58cb8e2f98fc6737,16800,Jakey,Yip,Stewie2k,US,1087340,Counter-Strike: Global Offensive,First-Person Shooter,United States of America
65e49cce58cb8e2f98fc6738,12183,Epitácio,de Melo,TACO,BR,1063858.27,Counter-Strike: Global Offensive,First-Person Shooter,Brazil
65e49cce58cb8e2f98fc6739,12169,Fernando,Alvarenga,fer,BR,1063038.92,Counter-Strike: Global Offensive,First-Person Shooter,Brazil
65e49cce58cb8e2f98fc673a,2455,Gabriel,Toledo,FalleN,BR,1059938.92,Counter-Strike: Global Offensive,First-Person Shooter,Brazil
65e49cce58cb8e2f98fc673b,12182,Marcelo,David,coldzera,BR,1021901.46,Counter-Strike: Global Offensive,First-Person Shooter,Brazil
65e49cce58cb8e2f98fc673c,10629,Keith,Markovic,NAF,CA,982765.66,Counter-Strike: Global Offensive,First-Person Shooter,Canada
65e49cce58cb8e2f98fc673d,2452,Finn,Andersen,karrigan,DK,964635.39,Counter-Strike: Global Offensive,First-Person Shooter,Denmark
65e49cce58cb8e2f98fc673e,11788,Jonathan,Jablonowski,ELiGE,US,930696.42,Counter-Strike: Global Offensive,First-Person Shooter,United States of America
65e49cce58cb8e2f98fc673f,8635,Nick,Cannella,nitr0,US,920151.73,Counter-Strike: Global Offensive,First-Person Shooter,United States of America
65e49cce58cb8e2f98fc6740,3875,Jesper,Wecksell,JW,SE,897760.68,Counter-Strike: Global Offensive,First-Person Shooter,Sweden
65e49cce58cb8e2f98fc6741,5001,Olof,Kajbjer,olofmeister,SE,880011.52,Counter-Strike: Global Offensive,First-Person Shooter,Sweden
65e49cce58cb8e2f98fc6742,3878,Robin,Rönnquist,flusha,SE,877668.95,Counter-Strike: Global Offensive,First-Person Shooter,Sweden
65e49cce58cb8e2f98fc6743,5000,Freddy,Johansson,KRiMZ,SE,867823.34,Counter-Strike: Global Offensive,First-Person Shooter,Sweden
65e49cce58cb8e2f98fc6744,20415,Russel,Van Dulken,Twistzz,CA,835376.43,Counter-Strike: Global Offensive,First-Person Shooter,Canada
65e49cce58cb8e2f98fc6745,3888,Dan,Madesclaire,apEX,FR,814852.39,Counter-Strike: Global Offensive,First-Person Shooter,France
65e49cce58cb8e2f98fc6746,3290,Nathan,Schmitt,NBK,FR,805444.66,Counter-Strike: Global Offensive,First-Person Shooter,France
65e49cce58cb8e2f98fc6747,3882,Ladislav,Kovács,GuardiaN,SK,798520.8,Counter-Strike: Global Offensive,First-Person Shooter,Slovakia (Slovak Republic)
65e49cce58cb8e2f98fc6748,10630,Tarik,Celik,tarik,US,780039.21,Counter-Strike: Global Offensive,First-Person Shooter,United States of America
65e49cce58cb8e2f98fc6749,5483,Håvard,Nygaard,rain,NO,763799.57,Counter-Strike: Global Offensive,First-Person Shooter,Norway
65e49cce58cb8e2f98fc674a,5783,Nikola,Kovač,NiKo,BA,762802.56,Counter-Strike: Global Offensive,First-Person Shooter,Bosnia and Herzegovina
65e49cce58cb8e2f98fc674b,8168,Egor,Vasilyev,flamie,RU,732920.07,Counter-Strike: Global Offensive,First-Person Shooter,Russian Federation
65e49cce58cb8e2f98fc674b,8168,Egor,Vasilyev,flamie,RU,732920.07,Counter-Strike: Global Offensive,First-Person Shooter,Russian Federation
65e49cce58cb8e2f98fc674c,3289,Kenny,Schrub,kennyS,FR,713086.68,Counter-Strike: Global Offensive,First-Person Shooter,France
65e49cce58cb8e2f98fc674d,1511,Daniil,Teslenko,Zeus,UA,689568.7,Counter-Strike: Global Offensive,First-Person Shooter,Ukraine
65e49cce58cb8e2f98fc674e,8169,Alexander,Kostylev,s1mple,UA,677155.31,Counter-Strike: Global Offensive,First-Person Shooter,Ukraine
65e49cce58cb8e2f98fc674f,3881,Richard,Papillon,shox,FR,660640.55,Counter-Strike: Global Offensive,First-Person Shooter,France
65e49cce58cb8e2f98fc6750,4998,Janusz,Pogorzelski,snax,PL,653938.44,Counter-Strike: Global Offensive,First-Person Shooter,Poland
65e49cce58cb8e2f98fc6751,10736,Markus,Kjærbye,Kjaerbye,DK,617000.5,Counter-Strike: Global Offensive,First-Person Shooter,Denmark
65e49cce58cb8e2f98fc6752,1510,Ioann,Sukharev,Edward,UA,613854.6,Counter-Strike: Global Offensive,First-Person Shooter,Ukraine
65e49cce58cb8e2f98fc6753,1485,Filip,Kubski,neo,PL,606880.52,Counter-Strike: Global Offensive,First-Person Shooter,Poland
65e49cce58cb8e2f98fc6754,3951,Chris,de Jong,chrisJ,NL,596748.79,Counter-Strike: Global Offensive,First-Person Shooter,Netherlands
65e49cce58cb8e2f98fc6755,1484,Wiktor,Wojtas,TaZ,PL,591510.89,Counter-Strike: Global Offensive,First-Person Shooter,Poland
65e49cce58cb8e2f98fc6756,4311,Will,Wierzba,Rush,US,586616,Counter-Strike: Global Offensive,First-Person Shooter,United States of America
65e49cce58cb8e2f98fc6757,1488,Jarosław,Jarząbkowski,pashaBiceps,PL,577382.35,Counter-Strike: Global Offensive,First-Person Shooter,Poland
65e49cce58cb8e2f98fc6758,4997,Paweł,Bieliński,byali,PL,574103.56,Counter-Strike: Global Offensive,First-Person Shooter,Poland
65e49cce58cb8e2f98fc6759,1490,Patrik,Lindberg,f0rest,SE,547205.97,Counter-Strike: Global Offensive,First-Person Shooter,Sweden
65e49cce58cb8e2f98fc675a,16267,Denis,Sharipov,electroNic,RU,531541.99,Counter-Strike: Global Offensive,First-Person Shooter,Russian Federation
65e49cce58cb8e2f98fc675a,16267,Denis,Sharipov,electroNic,RU,531541.99,Counter-Strike: Global Offensive,First-Person Shooter,Russian Federation
65e49cce58cb8e2f98fc675b,1492,Christopher,Alesund,GeT_RiGhT,SE,517888.39,Counter-Strike: Global Offensive,First-Person Shooter,Sweden
65e49cce58cb8e2f98fc675c,2440,Richard,Landström,Xizt,SE,513805.74,Counter-Strike: Global Offensive,First-Person Shooter,Sweden
65e49cce58cb8e2f98fc675d,31594,Robin,Kool,ropz,EE,506010.74,Counter-Strike: Global Offensive,First-Person Shooter,Estonia
65e49cce58cb8e2f98fc675e,3293,Cédric,Guipouy,RpK,FR,498887.62,Counter-Strike: Global Offensive,First-Person Shooter,France
65e49cce58cb8e2f98fc675f,3889,Vincent,Schopenhauer,Happy,FR,485910.46,Counter-Strike: Global Offensive,First-Person Shooter,France
65e49cce58cb8e2f98fc6760,11483,Peter,Jarguz,stanislaw,CA,481487.38,Counter-Strike: Global Offensive,First-Person Shooter,Canada
65e49cce58cb8e2f98fc6761,12859,Jonas,Olofsson,Lekr0,SE,464499.26,Counter-Strike: Global Offensive,First-Person Shooter,Sweden
65e49cce58cb8e2f98fc6762,11938,Timothy,Ta,autimatic,US,449799.56,Counter-Strike: Global Offensive,First-Person Shooter,United States of America
